country,year,prct_access_elec,prct_renew_prod,prct_renew_cons
Bosnia and Herzegovina,2019,100,1.66923912422112,36.8
Bosnia and Herzegovina,2020,100,1.89640867606969,37.7
Bosnia and Herzegovina,2021,100,2.67587397496763,36.6
Bosnia and Herzegovina,2022,100,..,..
Bosnia and Herzegovina,2023,100,..,..
Bosnia and Herzegovina,2024,..,..,..
Botswana,2015,62.1,0.117584745762712,26.1
Botswana,2016,64.2,0.192364170337739,26.7
Botswana,2017,67.4,0.158919233004067,26.7
Botswana,2018,68.3,0.190779014308426,25.6
Botswana,2019,70.1,0.236653386454183,26.2
Botswana,2020,71.8,0.258936355710549,27.7
Botswana,2021,73.7,0.248679398618448,27.4
Botswana,2022,75.9,..,..
Botswana,2023,76,..,..
Botswana,2024,..,..,..
Brazil,2015,99.7,12.2029459455312,43.7
Brazil,2016,99.7,14.5316279595064,45.4
Brazil,2017,99.8,16.1410907796512,45.3
Brazil,2018,99.7,17.5136091224846,46.9
Brazil,2019,99.8,18.5776469435984,47.5
Brazil,2020,99.7,20.1348423255784,50
Brazil,2021,99.5,22.0769155734794,46.5
Brazil,2022,100,..,..
Brazil,2023,99.8,..,..
Brazil,2024,..,..,..
British Virgin Islands,2015,100,0.891131123579612,1
British Virgin Islands,2016,100,1.19460149553164,1
British Virgin Islands,2017,100,1.57719660472585,1.1
British Virgin Islands,2018,100,1.70542635658915,1.2
British Virgin Islands,2019,100,1.93062025006129,1.2
British Virgin Islands,2020,100,2.26009406878016,1.3
British Virgin Islands,2021,100,2.2534386889084,1.3
British Virgin Islands,2022,100,..,1.3
British Virgin Islands,2023,100,..,..
British Virgin Islands,2024,..,..,..
Brunei Darussalam,2015,100,0.0311904761904762,0
Brunei Darussalam,2016,100,0.0255269320843091,0
Brunei Darussalam,2017,100,0.0377676208804426,0
Brunei Darussalam,2018,100,0.037037037037037,0
Brunei Darussalam,2019,100,0.0218889339278476,0
Brunei Darussalam,2020,100,0.0193548387096774,0
Brunei Darussalam,2021,100,0.0196525706264257,0
Brunei Darussalam,2022,100,..,..
Brunei Darussalam,2023,100,..,..
Brunei Darussalam,2024,..,..,..
Bulgaria,2015,96.6,6.30694537550531,17.9
Bulgaria,2016,97.3,6.99176218556063,17.7
Bulgaria,2017,98.1,7.24359817591862,17.1
Bulgaria,2018,98.7,9.04116403697931,19.6
Bulgaria,2019,99.2,10.2896377269853,19.3
Bulgaria,2020,99.7,11.3987829415517,21.1
Bulgaria,2021,99.8,11.5396905482677,20.4
Bulgaria,2022,100,..,..
Bulgaria,2023,100,..,..
Bulgaria,2024,..,..,..
Burkina Faso,2015,16.2,0.256871035940803,78.8
Burkina Faso,2016,16.6,0.322934719815136,77.1
Burkina Faso,2017,17,0.909489851892485,74.6
Burkina Faso,2018,14.4,4.64406779661017,73.7
Burkina Faso,2019,17.6,6.27078085642317,72.7
Burkina Faso,2020,18.5,6.13584905660377,73.1
Burkina Faso,2021,19,6.36428571428571,71.2
Burkina Faso,2022,19.5,..,71.4
Burkina Faso,2023,21.7,..,..
Burkina Faso,2024,..,..,..
Burundi,2015,7.9,3.3399486906433,91.2
Burundi,2016,8.5,4.35690693607927,89.6
Burundi,2017,9.3,4.2463317029791,88.2
Burundi,2018,9.5,2.85733205310731,85.7
Burundi,2019,9.8,2.3884081074926,84.8
Burundi,2020,9.1,2.2209352101327,83.4
Burundi,2021,10.2,1.73876633536814,83.1
Burundi,2022,10.3,..,83
Burundi,2023,11.6,..,..
Burundi,2024,..,..,..
Cabo Verde,2015,86.4,20.2655352418182,26.4
Cabo Verde,2016,87.5,18.5976845803865,23.9
Cabo Verde,2017,88.6,17.6363978722403,21.8
Cabo Verde,2018,90.2,20.7974489083376,21.9
Cabo Verde,2019,91.4,18.6581628053728,19.7
Cabo Verde,2020,93.7,16.8181059359424,23.4
Cabo Verde,2021,95.5,18.2655949281105,22.6
Cabo Verde,2022,97.1,..,21.8
Cabo Verde,2023,98.6,..,..
Cabo Verde,2024,..,..,..
Cambodia,2015,62.7,4.33376539209332,60.6
Cambodia,2016,68.8,-0.409802235597592,58
Cambodia,2017,89.1,0.699739658663581,56.3
Cambodia,2018,80.7,-1.06715893108298,58.1
Cambodia,2019,84,0.306217444308988,53
Cambodia,2020,86.4,2.41618115862372,51.4
Cambodia,2021,82.5,4.9734651914227,52.4
Cambodia,2022,92.3,..,..
Cambodia,2023,95,..,..
Cambodia,2024,..,..,..
Cameroon,2015,58.6,0.299059561128527,78.1
